,contract_id,starts_on,company_id,first_disb_date,grace_period_days,max_disposition_percentage,projection_uuid,projected_financing_days,principal_amount,take_rate,min_daily_payment,max_daily_payment,disbursement_fee,blended_contract_id,projection_method,payment_model,product_type,platforms,sat_conn,first_dd_date,sat_declaration_rate,total_sat_rate,avr_cf_l3m,avr_cf_l6m,avr_cf_l12m,avr_gross_m_l3m,avr_gross_m_l6m,avr_gross_m_l12m,avr_net_m_l3m,avr_net_m_l6m,avr_net_m_l12m,av_itmes_l3m,av_itmes_l6m,av_itmes_l12m,av_amount_l3m,av_amount_l6m,av_amount_l12m,moratory_av_itmes_l3m,moratory_av_itmes_l6m,moratory_av_itmes_l12m,moratory_av_amount_l3m,moratory_av_amount_l6m,moratory_av_amount_l12m,meli_fin_var,peg_invoicing,concentration_clients,data_sat_days,l3m_total_employees,l6m_total_employees,l12m_total_employees
0,96d82727-bf84-461d-8865-c8fd44756656,2021-11-09,ccec5a3c-6782-43f2-94e7-e67806266c8b,2021-11-10,60,1.0,ac29f9a3-2d78-4314-ba6f-3726c68b3558,180,8000000.0,0.0,60000.0,60000.0,0.1,0,0,fixed-payments,working-capital,2,1,2022-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ccdd3310-c113-48e5-8e29-44f4144e52db,2022-04-01,eed9eecf-0368-4bdd-8bf4-7af5d020b577,2022-04-11,30,0.34,8387f61e-afce-4521-b757-ffaa53a955c0,270,2000000.0,0.18,7500.0,11000.0,0.107,0,0,revenue-based-capped,working-capital,2,1,2022-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,707cf953-e332-476a-9daf-3f5ba2646482,2021-12-01,656583a6-47fa-4164-9369-3e70f91b03ba,2021-12-08,30,1.0,54a41f75-abda-4dd8-8530-d9eca797291b,120,12000000.0,0.0,108650.0,108650.0,0.0745,0,0,fixed-payments,working-capital,1,1,2022-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,69ffdc3f-9076-4822-bad8-4d3ad64273e0,2021-11-09,e8b94d3b-9e55-4b40-9dcc-d26883a6d235,2021-11-12,30,0.35,a7aa2f25-6030-426e-b50e-d70649aa54d8,270,1000000.0,0.255,4620.0,6700.0,0.135,76b172ec-4b5e-4779-b048-4b1c112a2db6,0,revenue-based-capped,working-capital,1,1,2021-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1d881bc8-79a4-44ea-a737-0a81682ebca3,2021-11-01,1e48d4fc-ca77-4dd1-b927-68ea77611014,2021-11-03,45,0.3333,f023cdb1-48df-4a05-9b49-1b2deda5cf14,300,1500000.0,0.14,5870.0,7100.0,0.114,0,0,revenue-based-capped,working-capital,1,1,2021-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,06ab117b-1878-4ab0-8772-4d6c9b8462da,2022-03-31,06e9c874-f5e1-4f43-a153-1cfb1a166970,2022-04-13,30,0.4,4de41c33-9d06-4a61-80c5-cb8f31092140,270,1500000.0,0.0,7000.0,7000.0,0.108,0,0,fixed-payments,working-capital,2,1,2022-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,151457f5-b560-48cf-b5e1-fd4a11b3afa6,2022-04-27,5184d8f8-894d-417a-81fa-27196315db69,2022-04-29,45,0.4,3a3a8176-6ecc-4b06-a4db-73fd17f83963,300,25000000.0,0.0,111402.0,111402.0,0.1175,0,cs,fixed-payments,working-capital,3,1,2022-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,d80c37c7-5377-4cb5-ab9e-04a6633831ef,2022-07-19,b9e7a320-64fb-4f7e-a3a7-c5aec46665c1,2022-07-28,30,0.34,55c0d713-e0be-43d2-ac12-61c60eebe09b,270,3500000.0,0.168,14000.0,21000.0,0.107,0,rp,revenue-based-capped,working-capital,1,1,2022-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,685e0fd7-dae3-492b-a4ee-24afa404bb45,2022-03-31,b7e232c6-462e-4b0d-9f7a-c4135d67c825,2022-04-12,30,0.35,791e11b7-a9a8-48f4-bfa9-1e21ef3a23bf,270,2000000.0,0.0,9250.0,9250.0,0.104,0,0,fixed-payments,working-capital,1,1,2022-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8c7e38dc-c240-42ac-a6df-056bdff6b4bd,2022-01-20,daf49023-137c-4c90-9049-f5917fb7a673,2022-01-27,30,0.5,79b74766-ccad-4fa0-926a-ac7639986209,150,5000000.0,0.0,30581.11,30581.11,0.087,0,0,fixed-payments,working-capital,1,1,2022-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
